"genre","average_rating"
"Catalogs","2.1"
"Finance","2.4326923076923075"
"Book","2.4776785714285716"
"Navigation","2.6847826086956523"
"Lifestyle","2.8055555555555554"
"News","2.98"
"Sports","2.982456140350877"
"Social Networking","2.9850299401197606"
"Food & Drink","3.1825396825396823"
"Entertainment","3.2467289719626167"
"Utilities","3.278225806451613"
"Medical","3.369565217391304"
"Education","3.376379690949227"
"Travel","3.376543209876543"
"Reference","3.453125"
"Shopping","3.540983606557377"
"Weather","3.5972222222222223"
"Games","3.6850077679958573"
"Health & Fitness","3.7"
"Business","3.745614035087719"
